ko_word,en_word,romanized_word
내가,I,naega
그,that,geu
난,I am,nan
내,my,nae
안,not,an
수,number,su
이,this,i
네,yes,ne
거야,going to be,geoya
좀,a little,jom
그래,okay,geurae
있어,there is,iteo
왜,why,wae
더,more,deo
그리고,and,geurigo
우리,we,uri
다,all,da
무슨,what,museun
한,one,han
하지만,but,hajiman
잘,well,jal
어떻게,how,eotteotge
할,will do,hal
그냥,just,geunyang
정말,really,jeongmal
그럼,then,geureom
것,thing,geot
게,crab,ge
있어요,there is,iteoyo
있는,present,itneun
해,sun,hae
여기,here,yeogi
넌,you,neon
제가,I am,jega
날,me,nal
우리가,we,uriga
건,case,geon
전,jeon,jeon
이제,now,ije
지금,now,jigeum
그게,that is,geuge
걸,girl,geol
거,thing,geo
아니,no,ani
네가,you,nega
없어,doesn't exist,eobeo
돼,ok,dwae
저,I,jeo
우린,We,urin
제,my,je
못,pond,mot
좋아,good,jota
당신이,you,dangsini
다른,different,dareun
나,me,na
그런,that,geureon
그건,that,geugeon
너무,too,neomu
그래서,so,geuraeseo
그렇게,like that,geureotge
다시,again,dasi
이건,This is,igeon
이런,this,ireon
나도,me too,nado
모든,every,modeun
당신,you,dangsin
거예요,Yes,geoyeyo
당신은,you are,dangsineun
아,ah,a
좋은,good,joteun
오,oh,o
때,at the time,ttae
너,you,neo
하는,doing,haneun
하고,do,hago
아냐,no,anya
나는,I am,naneun
아니야,no,aniya
알아,know,ala
같이,together,gati
응,huh,eung
이게,this,ige
없어요,no,eobeoyo
괜찮아,are you okay,gwaenchana
오늘,today,oneul
말이야,I mean,maliya
줄,line,jul
또,also,tto
널,you,neol
누가,who,nuga
어떤,which,eotteon
아주,very,aju
말,word,mal
아직,yet,ajik
안돼,no,andwae
진짜,really,jinjja
모두,every,modu
마,mind,ma
같은,same,gateun
여기서,here,yeogiseo
어서,hurry,eoseo
그는,he is,geuneun
위해,for,wihae
해요,do,haeyo
일이,work,ili
하지,summer solstice,haji
엄마,mom,eomma
바로,as soon as,baro
가,go,ga
근데,however,geunde
알고,know,algo
이렇게,like this,ireotge
빨리,hurry,ppalri
있습니다,there is,itseubnida
이거,this,igeo
전에,before,jeone
어,uh,eo
아뇨,no,anyo
계속,continue,gyesok
닥터,doctor,dakteo
얼마나,how much,eolmana
될,be,doel
알았어,okay,alateo
않아,No,ana
제발,please,jebal
있지,Yes,itji
겁니다,I will,geobnida
어디,where,eodi
사람이,person,sarami
그가,he,geuga
안녕,hi,annyeong
좋아요,great,jotayo
같아,Same,gata
우리는,we are,urineun
그래요,is it so,geuraeyo
당신을,you,dangsineul
자,ruler,ja
그걸,that,geugeol
두,two,du
아니에요,no,anieyo
있을,There will be,iteul
때문에,because,ttaemune
대해,about,daehae
아빠,dad,appa
몇,some,myeot
사람,person,saram
했어,I did it,haeteo
뭐야,what,mwoya
수도,capital,sudo
많이,many,mani
집에,at home,jibe
거지,the poor,geoji
일을,work,ileul
저는,I am,jeoneun
음,hmm,eum
그렇지,yes,geureotji
함께,together,hamkke
만약,if,manyak
하나,one,hana
저기,excuse me,jeogi
고마워요,thank you,gomawoyo
항상,always,hangsang
나한테,to me,nahante
잠깐,for a moment,jamkkan
가서,go,gaseo
가장,most,gajang
돼요,It's okay,dwaeyo
거죠,That's it,geojyo
가자,let's go,gaja
맞아,that's right,mata
보고,report,bogo
와,and,wa
그거,that,geugeo
말을,say,maleul
괜찮아요,are you okay,gwaenchanayo
아무도,no one,amudo
없는,no,eobneun
안녕하세요,hello,annyeonghaseyo
몰라,I don't know,molra
일,Day,il
많은,many,maneun
당신의,your,dangsinui
아무것도,nothing,amugeotdo
그러니까,therefore,geureonikka
큰,big,keun
알아요,i know,alayo
그의,his,geuui
뭐가,what,mwoga
고마워,thank you,gomawo
그만,stop,geuman
했어요,i did it,haeteoyo
젠장,shit,jenjang
사람들이,people,saramdeuli
거에요,It will be,geoeyo
이걸,This,igeol
그럴,That's right,geureol
것도,also,geotdo
말이,words,mali
이미,already,imi
야,hey,ya
그를,him,geureul
뭔가,something,mwonga
온,on,on
이봐,hey,ibwa
아니면,or not,animyeon
같아요,I think,gatayo
그런데,however,geureonde
아니라,not,anira
세상에,oh my god,sesange
있다고,There is,itdago
있고,There is,itgo
뭐라고,what,mworago
예,yes,ye
절대,absoluteness,jeoldae
말야,I mean,malya
당장,immediately,dangjang
그래도,still,geuraedo
대한,for,daehan
말은,I mean,maleun
거기,there,geogi
전부,entire,jeonbu
둘,two,dul
그녀는,she is,geunyeoneun
니가,you,niga
갈,conflict,gal
않아요,No,anayo
자기,self,jagi
있죠,Yes,itjyo
하면,underneath,hamyeon
가지고,have,gajigo
그들이,they,geudeuli
참,really,cham
너도,you also,neodo
됐어,it's okay,dwaeteo
미안해,Sorry,mianhae
것을,that,geoteul
여긴,This is,yeogin
아무,any,amu
사람은,The person,sarameun
감사합니다,thank you,gamsahabnida
다들,Everyone,dadeul
어때,how,eottae
씨,seed,ssi
곧,soon,got
엄마가,Mom,eommaga
나를,me,nareul
이젠,yet,ijen
아마,maybe,ama
그들은,they,geudeuleun
얘기,talk,yaegi
꼭,please,kkok
있잖아,"You know,",itjana
저도,me too,jeodo
지금은,now,jigeumeun
그녀가,she,geunyeoga
중,middle,jung
있다,there is,itda
시간,hour,sigan
먼저,first,meonjeo
우릴,us,uril
말고,except,malgo
사람을,people,sarameul
수가,medical charge,suga
봐요,see,bwayo
있는데,There is,itneunde
알았어요,all right,alateoyo
해야,have to,haeya
있었어,there was,iteoteo
우리의,our,uriui
않을,won't,aneul
방금,just now,banggeum
완전,perfection,wanjeon
된,done,doen
동안,during,dongan
시간이,time,sigani
싶어,I want to,sipeo
본,copy,bon
일은,work,ileun
친구,friend,chingu
들어,listen,deuleo
안에,in,ane
번,th,beon
자네,you,jane
합니다,do,habnida
사실,actually,sasil
한번,once,hanbeon
대체,alternative,daeche
같은데,Looks like,gateunde
생각해,think about it,saenggakhae
맞아요,that's right,matayo
볼,cheek,bol
혼자,alone,honja
자네가,You,janega
절,I,jeol
그러니,so,geureoni
선생님,teacher,seonsaengnim
사람들은,people,saramdeuleun
문제가,problem,munjega
다음,next,daeum
물론,of course,mulron
거의,almost,geoui
일이야,It's work,iliya
없습니다,doesn't exist,eobseubnida
아빠가,Dad,appaga
되는,felled,doeneun
그러면,then,geureomyeon
순,net,sun
가는,thin,ganeun
말도,nonsense,maldo
이리,here,iri
있었어요,There was,iteoteoyo
맙소사,oh my god,mabsosa
내일,tomorrow,naeil
있으면,If there is,iteumyeon
잠깐만,wait for a sec,jamkkanman
싫어,no,sileo
중요한,important,jungyohan
내게,to me,naege
말해,say,malhae
이상,more,isang
거라고,I guess,georago
아는,know,aneun
너는,you,neoneun
새,bird,sae
적,enemy,jeok
전혀,at all,jeonhyeo
여자,female,yeoja
새로운,new,saeroun
너희,you guys,neohui
왔어,came,wateo
아직도,still,ajikdo
가지,egg plant,gaji
나와,come out,nawa
알,egg,al
싶지,I don't want to,sipji
여기에,here,yeogie
원하는,desirous,wonhaneun
돈,money,don
필요,necessary,pilyo
도움이,helpful,doumi
그녀를,her,geunyeoreul
몰라요,I don't know,molrayo
작은,small,jakeun
혹시,if,hoksi
미안해요,sorry,mianhaeyo
나쁜,bad,nappeun
죄송해요,sorry,joesonghaeyo
모르겠어,I don't know,moreugeteo
가요,song,gayo
알지,You know,alji
밖에,outside,bake
직접,directly,jikjeob
있나,Is there,itna
니,you,ni
해도,chart,haedo
하죠,Let's do it,hajyo
